"Label"	"Spp"	"Chr"	"Start"	"End"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"105515000"	"105515000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"105755000"	"105765000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"105785000"	"105785000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"152230000"	"152230000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"152245000"	"152505000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"154135000"	"154135000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"154220000"	"154665000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 30505000"	" 30505000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 30550000"	" 30550000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 30560000"	" 32075000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 32085000"	" 32120000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 82555000"	" 82595000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 82605000"	" 82630000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 82640000"	" 82640000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 82650000"	" 82650000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 82675000"	" 82675000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 82690000"	" 82755000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 82920000"	" 82920000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 83020000"	" 83020000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 83030000"	" 83030000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 83045000"	" 83065000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 83140000"	" 83140000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 83225000"	" 83230000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 83240000"	" 83245000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 83320000"	" 83320000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 83330000"	" 83340000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 83350000"	" 83370000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 83395000"	" 83395000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 46980000"	" 46980000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 52370000"	" 53060000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 53070000"	" 53120000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 53130000"	" 53140000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 53155000"	" 53155000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 53195000"	" 53250000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 53265000"	" 53265000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 53310000"	" 53310000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 53325000"	" 53435000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 53445000"	" 53450000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 53620000"	" 53690000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 53700000"	" 53700000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 53725000"	" 53725000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 53735000"	" 53785000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 53800000"	" 53800000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 53815000"	" 53815000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 53835000"	" 53870000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 53880000"	" 53880000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 58445000"	" 58445000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 58460000"	" 58470000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 58480000"	" 61070000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 61105000"	" 61105000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 61115000"	" 61115000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 61125000"	" 61125000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr6"	" 65455000"	" 65455000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr6"	" 65465000"	" 65660000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr6"	" 65680000"	" 65690000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr6"	" 65700000"	" 65715000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr6"	"114225000"	"114515000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr6"	"114675000"	"114870000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr6"	"114880000"	"114890000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr6"	"114900000"	"114915000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr6"	"114945000"	"114945000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr6"	"115225000"	"115610000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr7"	" 30335000"	" 37740000"
"MinRepeatAbund"	"Fagoesc_H1-AT"	"Chr8"	" 88035000"	" 90450000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr1"	" 73265000"	" 73265000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr1"	" 73450000"	" 73450000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr1"	" 74665000"	" 74665000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr1"	" 74675000"	" 74745000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr1"	" 74805000"	" 74805000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr1"	" 76185000"	" 76185000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr1"	" 76200000"	" 76200000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	" 79720000"	" 79755000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	" 79770000"	" 79960000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	" 79980000"	" 79980000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	" 79990000"	" 79990000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	" 81220000"	" 81430000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	" 81455000"	" 81505000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	" 81515000"	" 81560000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	" 84310000"	" 84315000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	" 84370000"	" 84380000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	" 84390000"	" 84390000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	" 84425000"	" 84865000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	" 84935000"	" 84990000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"113765000"	"113775000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"113835000"	"113845000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"149655000"	"149660000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"150465000"	"150495000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"150535000"	"150545000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr3"	"150620000"	"150630000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	"  4850000"	"  4850000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 94170000"	" 94235000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 94250000"	" 94255000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 94265000"	" 94265000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 94275000"	" 94605000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 94645000"	" 94645000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 94660000"	" 94660000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 94670000"	" 94870000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 94880000"	" 94880000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 94945000"	" 94955000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 95010000"	" 95075000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 95385000"	" 95445000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 95505000"	" 95505000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 95515000"	" 95515000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 95530000"	" 96010000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 96300000"	" 96530000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 96575000"	" 96600000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 96610000"	" 96715000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 96725000"	" 96725000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 96735000"	" 96750000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 96765000"	" 96775000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 96800000"	" 96800000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 96810000"	" 96835000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 96875000"	" 96875000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 96885000"	" 97045000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 97110000"	" 97135000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 97145000"	" 97170000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 97180000"	" 97895000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 97905000"	" 97920000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 97930000"	" 97940000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 97950000"	" 97950000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 97975000"	" 97975000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 98060000"	" 98060000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 98090000"	" 98105000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 98885000"	" 99295000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 99305000"	" 99305000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 99410000"	" 99465000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 99530000"	" 99535000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 99545000"	" 99775000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 99785000"	" 99790000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 99880000"	" 99885000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr4"	" 99895000"	" 99920000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 14250000"	" 14255000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 55130000"	" 55130000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 55170000"	" 55725000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 55740000"	" 55800000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 57425000"	" 57425000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 57465000"	" 57465000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 57495000"	" 57540000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 57550000"	" 57555000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	" 57565000"	" 57620000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	"103350000"	"103355000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	"103380000"	"103385000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	"103395000"	"103460000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	"103470000"	"103485000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	"109350000"	"109430000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	"109455000"	"109615000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	"125210000"	"125315000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	"125335000"	"125480000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	"125490000"	"125505000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	"125515000"	"125515000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	"126505000"	"126505000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	"126515000"	"126515000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	"127225000"	"127230000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	"127260000"	"127265000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	"129930000"	"129995000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	"130030000"	"130035000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	"132620000"	"132710000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	"132720000"	"132725000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	"132775000"	"132775000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	"132785000"	"132785000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr5"	"132795000"	"132825000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr6"	" 25725000"	" 25740000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr6"	" 66950000"	" 68220000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr6"	" 68230000"	" 69420000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr6"	" 69855000"	" 69925000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr6"	" 70335000"	" 70500000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr6"	" 70535000"	" 70600000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr6"	" 70610000"	" 70620000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr6"	" 70630000"	" 70635000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr7"	" 66885000"	" 66885000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr7"	" 67060000"	" 67245000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr7"	" 67270000"	" 67270000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr7"	" 67305000"	" 67455000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr7"	" 67525000"	" 67525000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr7"	" 67535000"	" 67540000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr7"	" 67625000"	" 67665000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr7"	" 67675000"	" 67675000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr7"	" 67685000"	" 67710000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr7"	" 67720000"	" 67725000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr7"	" 67735000"	" 68455000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr7"	" 68480000"	" 68485000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr7"	" 68495000"	" 68560000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr7"	" 69395000"	" 69900000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr7"	" 69910000"	" 70550000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr7"	" 70560000"	" 70570000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr7"	" 70585000"	" 70595000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr7"	" 70725000"	" 70725000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr7"	" 70735000"	" 70775000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr7"	" 70795000"	" 70800000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr7"	" 70815000"	" 70860000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr7"	" 70875000"	" 70885000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr8"	" 82395000"	" 82625000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr8"	" 90515000"	" 90515000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr8"	" 90680000"	" 90700000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr8"	" 90850000"	" 90875000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr8"	" 90950000"	" 90950000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr8"	" 90965000"	" 91470000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr8"	" 91500000"	" 91610000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr8"	" 91640000"	" 91945000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr8"	" 92020000"	" 92050000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr8"	" 92125000"	" 92240000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr8"	" 92250000"	" 92525000"
"MaxRepeatAbund"	"Fagoesc_H1-AT"	"Chr8"	" 94210000"	" 94215000"
"Shannon"	"Fagoesc_H1-AT"	"Chr1"	"129010000"	"132390000"
"Shannon"	"Fagoesc_H1-AT"	"Chr2"	" 94280000"	" 97620000"
"Shannon"	"Fagoesc_H1-AT"	"Chr3"	" 12550000"	" 12565000"
"Shannon"	"Fagoesc_H1-AT"	"Chr3"	" 12575000"	" 12850000"
"Shannon"	"Fagoesc_H1-AT"	"Chr3"	" 12860000"	" 12875000"
"Shannon"	"Fagoesc_H1-AT"	"Chr3"	" 20775000"	" 20870000"
"Shannon"	"Fagoesc_H1-AT"	"Chr3"	" 20880000"	" 21120000"
"Shannon"	"Fagoesc_H1-AT"	"Chr3"	" 83795000"	" 83905000"
"Shannon"	"Fagoesc_H1-AT"	"Chr3"	" 83915000"	" 83915000"
"Shannon"	"Fagoesc_H1-AT"	"Chr3"	" 83925000"	" 83925000"
"Shannon"	"Fagoesc_H1-AT"	"Chr3"	" 84195000"	" 84225000"
"Shannon"	"Fagoesc_H1-AT"	"Chr3"	" 84235000"	" 84245000"
"Shannon"	"Fagoesc_H1-AT"	"Chr3"	" 84270000"	" 84275000"
"Shannon"	"Fagoesc_H1-AT"	"Chr3"	" 84290000"	" 84625000"
"Shannon"	"Fagoesc_H1-AT"	"Chr3"	" 84660000"	" 84660000"
"Shannon"	"Fagoesc_H1-AT"	"Chr3"	" 84670000"	" 84670000"
"Shannon"	"Fagoesc_H1-AT"	"Chr3"	" 84700000"	" 84770000"
"Shannon"	"Fagoesc_H1-AT"	"Chr3"	" 84780000"	" 84780000"
"Shannon"	"Fagoesc_H1-AT"	"Chr3"	"104120000"	"104135000"
"Shannon"	"Fagoesc_H1-AT"	"Chr3"	"104350000"	"105240000"
"Shannon"	"Fagoesc_H1-AT"	"Chr3"	"105250000"	"105320000"
"Shannon"	"Fagoesc_H1-AT"	"Chr3"	"105335000"	"105820000"
"Shannon"	"Fagoesc_H1-AT"	"Chr3"	"105885000"	"105895000"
"Shannon"	"Fagoesc_H1-AT"	"Chr3"	"153855000"	"156355000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 15445000"	" 15445000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 15455000"	" 15455000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 19905000"	" 20075000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 20085000"	" 20140000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 20150000"	" 20185000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 20195000"	" 20515000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 20670000"	" 21015000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 21050000"	" 21170000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 24070000"	" 24120000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 24145000"	" 24465000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 24475000"	" 24710000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 24725000"	" 24725000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 24745000"	" 24790000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 24925000"	" 25080000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 25120000"	" 25125000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 25155000"	" 25850000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 25860000"	" 25865000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 25875000"	" 25880000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 29180000"	" 29190000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 29240000"	" 29485000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 44105000"	" 44120000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 44140000"	" 44145000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 44155000"	" 44240000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 44465000"	" 44470000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 93160000"	" 93525000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 97565000"	" 97565000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 97575000"	" 97585000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 97610000"	" 97680000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 97770000"	" 97790000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 97800000"	" 99195000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 99440000"	" 99505000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 99515000"	" 99665000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 99675000"	" 99675000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 99875000"	" 99925000"
"Shannon"	"Fagoesc_H1-AT"	"Chr4"	" 99955000"	" 99965000"
"Shannon"	"Fagoesc_H1-AT"	"Chr5"	" 52065000"	" 54830000"
"Shannon"	"Fagoesc_H1-AT"	"Chr6"	" 65270000"	" 67855000"
"Shannon"	"Fagoesc_H1-AT"	"Chr6"	"114200000"	"115615000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	" 30890000"	" 30930000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	" 30950000"	" 30950000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	" 31430000"	" 31430000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	" 31450000"	" 31665000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	" 31680000"	" 33335000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	" 33490000"	" 33490000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	" 33500000"	" 37215000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	" 37230000"	" 37240000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	" 67560000"	" 67565000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	" 67585000"	" 67600000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	" 67665000"	" 67670000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	" 67695000"	" 67700000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	" 69005000"	" 69040000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	" 69335000"	" 69355000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	" 69365000"	" 69830000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	"149660000"	"150015000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	"150050000"	"150050000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	"150220000"	"150325000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	"150335000"	"150430000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	"150440000"	"150445000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	"150470000"	"150575000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	"150585000"	"150605000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	"150615000"	"150635000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	"151630000"	"151635000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	"152115000"	"152115000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	"152135000"	"152165000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	"152300000"	"152325000"
"Shannon"	"Fagoesc_H1-AT"	"Chr7"	"152365000"	"152365000"
"Shannon"	"Fagoesc_H1-AT"	"Chr8"	" 60270000"	" 62780000"
"Shannon"	"Fagoesc_H1-AT"	"Chr8"	" 88260000"	" 90970000"
"Label"	"Spp"	"Chr"	"Start"	"End"
"MinRepeatAbund"	"Fagoesc_H2-AT"	"Chr1"	"119505000"	"122780000"
"MinRepeatAbund"	"Fagoesc_H2-AT"	"Chr2"	" 51760000"	" 55200000"
"MinRepeatAbund"	"Fagoesc_H2-AT"	"Chr2"	" 58985000"	" 62270000"
"MinRepeatAbund"	"Fagoesc_H2-AT"	"Chr3"	" 33080000"	" 33145000"
